counselling_body,institute_type,college_name,branch_name,college_id,branch_id,category,quota,seat_pool,year,round_number,opening_rank,closing_rank
CSAB,IIIT,NIT Trichy,Mechanical,5,4,SC,OS,Female-Only,2021,2,41976,46012
JoSAA,IIIT,NIT Trichy,Mechanical,8,4,SC,HS,Female-Only,2023,3,29488,34016
CSAB,IIIT,NIT Trichy,Electrical,1,4,OBC-NCL,OS,Female-Only,2023,3,6558,8077
JoSAA,IIIT,NIT Surathkal,Civil,5,1,OBC-NCL,HS,Female-Only,2021,4,35624,39874
CSAB,GFTI,NIT Warangal,Electrical,3,1,ST,AI,Female-Only,2022,2,6953,8383
CSAB,NIT,IIIT Hyderabad,Computer Science,4,4,OBC-NCL,AI,Female-Only,2023,3,40577,43594
CSAB,NIT,NIT Warangal,Computer Science,2,2,OBC-NCL,OS,Gender-Neutral,2022,5,32322,33868
CSAB,GFTI,NIT Warangal,Electrical,9,1,SC,AI,Female-Only,2023,3,18420,19960
CSAB,NIT,NIT Warangal,Electrical,3,3,ST,AI,Female-Only,2021,5,28718,32562
CSAB,IIIT,NIT Trichy,Mechanical,2,1,OBC-NCL,OS,Gender-Neutral,2022,2,45715,48659
CSAB,NIT,IIIT Hyderabad,Electrical,9,3,OBC-NCL,HS,Female-Only,2022,6,17452,21727
CSAB,IIIT,IIIT Hyderabad,Mechanical,7,4,ST,OS,Female-Only,2022,2,7397,8361
JoSAA,GFTI,NIT Warangal,Computer Science,6,1,EWS,HS,Gender-Neutral,2023,6,28040,28611
JoSAA,NIT,NIT Trichy,Mechanical,1,2,ST,OS,Female-Only,2023,6,49124,50726
CSAB,GFTI,NIT Trichy,Electrical,5,1,SC,OS,Female-Only,2023,2,3303,8087
CSAB,NIT,IIIT Hyderabad,Computer Science,3,1,EWS,AI,Female-Only,2021,3,39367,40877
CSAB,IIIT,NIT Trichy,Civil,1,1,OPEN,OS,Female-Only,2023,1,38041,41911
JoSAA,GFTI,NIT Trichy,Mechanical,4,4,ST,OS,Female-Only,2021,3,17373,19378
CSAB,NIT,NIT Trichy,Computer Science,2,2,SC,HS,Female-Only,2022,3,25468,30227
JoSAA,IIIT,NIT Surathkal,Mechanical,2,1,EWS,AI,Gender-Neutral,2022,4,11750,15851
JoSAA,GFTI,NIT Warangal,Computer Science,3,2,ST,HS,Female-Only,2021,4,31084,34688
JoSAA,GFTI,IIIT Hyderabad,Computer Science,8,4,OBC-NCL,HS,Female-Only,2023,3,42041,45624
JoSAA,NIT,IIIT Hyderabad,Mechanical,8,3,ST,AI,Gender-Neutral,2021,5,7482,12144
JoSAA,NIT,NIT Surathkal,Civil,7,1,OPEN,AI,Gender-Neutral,2022,6,901,1599
CSAB,NIT,NIT Warangal,Computer Science,6,2,ST,AI,Female-Only,2022,4,41102,42193
CSAB,IIIT,IIIT Hyderabad,Computer Science,9,2,EWS,OS,Gender-Neutral,2021,3,46765,48797
CSAB,NIT,NIT Trichy,Computer Science,4,4,EWS,AI,Female-Only,2023,1,48065,50949
CSAB,GFTI,IIIT Hyderabad,Civil,1,1,ST,AI,Female-Only,2023,5,19833,22974
CSAB,GFTI,NIT Trichy,Civil,8,3,EWS,AI,Gender-Neutral,2021,2,10069,10235
JoSAA,NIT,NIT Surathkal,Electrical,7,2,OBC-NCL,HS,Female-Only,2021,3,36069,39567
CSAB,NIT,NIT Trichy,Mechanical,7,1,ST,HS,Female-Only,2023,3,16833,19683
CSAB,GFTI,IIIT Hyderabad,Civil,3,3,OBC-NCL,OS,Gender-Neutral,2022,6,32549,33118
JoSAA,IIIT,IIIT Hyderabad,Mechanical,4,2,OBC-NCL,HS,Gender-Neutral,2021,5,26243,28067
CSAB,NIT,IIIT Hyderabad,Electrical,9,2,SC,OS,Gender-Neutral,2023,4,25805,29890
JoSAA,NIT,NIT Surathkal,Mechanical,6,3,ST,HS,Gender-Neutral,2023,4,28463,30194
CSAB,GFTI,NIT Surathkal,Civil,5,3,EWS,AI,Female-Only,2022,4,30820,31694
JoSAA,NIT,NIT Warangal,Mechanical,3,4,OBC-NCL,HS,Gender-Neutral,2022,2,10072,13184
CSAB,IIIT,IIIT Hyderabad,Civil,9,1,SC,OS,Gender-Neutral,2022,5,33451,36054
CSAB,GFTI,NIT Trichy,Mechanical,5,1,ST,HS,Gender-Neutral,2022,5,45587,47173
JoSAA,NIT,NIT Surathkal,Civil,5,4,ST,AI,Gender-Neutral,2022,4,36245,40364
JoSAA,GFTI,IIIT Hyderabad,Civil,4,2,OPEN,OS,Gender-Neutral,2021,4,22512,26839
JoSAA,NIT,IIIT Hyderabad,Mechanical,4,3,OPEN,AI,Female-Only,2023,6,24178,25207
JoSAA,NIT,NIT Surathkal,Electrical,1,3,OBC-NCL,AI,Gender-Neutral,2021,1,22680,25792
JoSAA,NIT,NIT Warangal,Computer Science,7,3,OPEN,OS,Female-Only,2021,1,14955,16560
JoSAA,IIIT,NIT Surathkal,Electrical,9,2,OBC-NCL,AI,Gender-Neutral,2021,3,36269,41098
JoSAA,IIIT,NIT Surathkal,Mechanical,3,3,EWS,AI,Gender-Neutral,2021,3,46504,49548
JoSAA,GFTI,NIT Trichy,Electrical,2,3,OBC-NCL,HS,Gender-Neutral,2021,5,19669,22588
CSAB,NIT,NIT Trichy,Civil,3,4,OPEN,AI,Gender-Neutral,2022,5,48606,49890
CSAB,NIT,NIT Warangal,Computer Science,1,2,EWS,AI,Gender-Neutral,2022,2,25838,26226
JoSAA,IIIT,IIIT Hyderabad,Mechanical,6,1,OPEN,AI,Gender-Neutral,2023,2,6872,8783
CSAB,NIT,NIT Surathkal,Mechanical,7,4,OBC-NCL,AI,Gender-Neutral,2021,1,24974,25601
CSAB,IIIT,NIT Warangal,Mechanical,2,4,SC,OS,Gender-Neutral,2023,3,19831,20847
CSAB,NIT,NIT Trichy,Computer Science,8,1,ST,HS,Female-Only,2022,1,10231,12039
CSAB,GFTI,NIT Surathkal,Civil,6,4,OPEN,AI,Gender-Neutral,2022,1,888,4562
JoSAA,NIT,IIIT Hyderabad,Mechanical,4,2,OBC-NCL,AI,Female-Only,2022,3,16284,19703
CSAB,NIT,NIT Trichy,Electrical,5,3,EWS,OS,Gender-Neutral,2021,2,30997,32503
JoSAA,IIIT,NIT Trichy,Mechanical,8,2,OPEN,AI,Female-Only,2021,6,2989,4330
CSAB,NIT,NIT Trichy,Mechanical,3,1,OPEN,OS,Gender-Neutral,2022,6,9669,12902
CSAB,NIT,NIT Warangal,Mechanical,3,1,ST,HS,Gender-Neutral,2023,6,21757,22655
CSAB,IIIT,IIIT Hyderabad,Mechanical,4,4,OBC-NCL,HS,Gender-Neutral,2023,3,10241,11864
JoSAA,GFTI,NIT Surathkal,Civil,1,2,SC,AI,Female-Only,2022,4,19756,23963
CSAB,GFTI,NIT Warangal,Electrical,9,2,EWS,AI,Female-Only,2023,4,21718,24706
JoSAA,IIIT,NIT Warangal,Civil,8,1,OBC-NCL,AI,Female-Only,2022,4,12034,14824
CSAB,IIIT,NIT Warangal,Electrical,8,2,EWS,OS,Female-Only,2023,5,42637,46828
JoSAA,IIIT,NIT Trichy,Mechanical,6,1,OPEN,AI,Gender-Neutral,2022,2,23386,24727
CSAB,IIIT,IIIT Hyderabad,Computer Science,7,2,ST,AI,Gender-Neutral,2023,2,7712,8502
JoSAA,IIIT,NIT Warangal,Civil,6,2,ST,HS,Gender-Neutral,2021,5,32169,32796
JoSAA,GFTI,NIT Surathkal,Computer Science,9,2,SC,AI,Female-Only,2022,1,16305,17900
CSAB,GFTI,IIIT Hyderabad,Civil,3,1,ST,HS,Gender-Neutral,2022,6,27431,31356
JoSAA,IIIT,NIT Surathkal,Mechanical,3,4,OPEN,AI,Female-Only,2023,4,14034,17027
CSAB,NIT,IIIT Hyderabad,Civil,3,2,SC,HS,Female-Only,2022,6,10195,11187
CSAB,IIIT,NIT Surathkal,Mechanical,3,1,OBC-NCL,AI,Female-Only,2022,4,26058,26544
CSAB,NIT,NIT Trichy,Civil,9,1,ST,HS,Female-Only,2022,6,37108,38457
CSAB,IIIT,NIT Warangal,Mechanical,4,2,SC,OS,Female-Only,2021,1,18806,21434
CSAB,IIIT,NIT Surathkal,Mechanical,7,2,OPEN,HS,Gender-Neutral,2021,6,43616,48219
CSAB,GFTI,IIIT Hyderabad,Electrical,9,4,EWS,HS,Female-Only,2023,6,38166,41794
CSAB,NIT,NIT Warangal,Mechanical,7,1,EWS,HS,Female-Only,2021,3,31572,32569
CSAB,NIT,NIT Warangal,Electrical,9,1,OPEN,AI,Gender-Neutral,2023,6,34729,35539
CSAB,GFTI,IIIT Hyderabad,Mechanical,3,3,OPEN,AI,Female-Only,2021,3,47010,50805
CSAB,GFTI,NIT Surathkal,Computer Science,4,1,EWS,AI,Female-Only,2023,2,23104,25890
CSAB,GFTI,NIT Trichy,Mechanical,8,4,SC,OS,Gender-Neutral,2021,5,20531,25143
JoSAA,GFTI,NIT Trichy,Computer Science,6,3,EWS,OS,Gender-Neutral,2021,6,40188,40703
JoSAA,NIT,NIT Surathkal,Computer Science,5,3,OPEN,HS,Gender-Neutral,2023,2,44235,45806
CSAB,NIT,NIT Warangal,Mechanical,4,3,ST,OS,Female-Only,2022,3,38115,42395
CSAB,IIIT,NIT Warangal,Computer Science,8,2,OBC-NCL,HS,Gender-Neutral,2022,6,34602,38964
CSAB,IIIT,NIT Warangal,Electrical,1,2,ST,HS,Gender-Neutral,2021,6,31485,34016
CSAB,GFTI,NIT Warangal,Civil,9,1,ST,HS,Gender-Neutral,2023,1,4763,7378
CSAB,GFTI,NIT Surathkal,Mechanical,1,3,OPEN,OS,Female-Only,2022,2,38777,39972
CSAB,GFTI,NIT Warangal,Computer Science,8,4,EWS,AI,Gender-Neutral,2023,4,12918,13827
CSAB,IIIT,IIIT Hyderabad,Mechanical,4,2,SC,OS,Female-Only,2022,4,22786,25930
CSAB,IIIT,NIT Warangal,Electrical,9,4,ST,HS,Female-Only,2023,1,24077,25169
JoSAA,IIIT,NIT Trichy,Mechanical,5,4,EWS,HS,Gender-Neutral,2021,3,49932,51313
CSAB,IIIT,NIT Warangal,Mechanical,3,2,SC,OS,Female-Only,2023,4,41031,45501
JoSAA,IIIT,NIT Surathkal,Computer Science,9,2,ST,HS,Female-Only,2022,4,18554,20427
CSAB,IIIT,NIT Trichy,Electrical,9,2,SC,HS,Gender-Neutral,2021,5,13458,17119
CSAB,IIIT,NIT Surathkal,Civil,4,2,EWS,OS,Female-Only,2023,2,6768,10684
JoSAA,GFTI,NIT Surathkal,Civil,4,3,OBC-NCL,OS,Gender-Neutral,2022,3,45884,47740
CSAB,GFTI,NIT Trichy,Computer Science,8,3,EWS,OS,Female-Only,2021,6,40869,43342
JoSAA,GFTI,NIT Surathkal,Mechanical,2,3,OPEN,HS,Female-Only,2023,2,10021,12697
CSAB,GFTI,NIT Surathkal,Computer Science,9,3,SC,HS,Gender-Neutral,2022,3,35059,36050
CSAB,IIIT,NIT Warangal,Computer Science,6,1,OBC-NCL,AI,Gender-Neutral,2023,4,32428,36712
JoSAA,NIT,IIIT Hyderabad,Computer Science,9,3,SC,AI,Female-Only,2023,5,8959,9766
CSAB,IIIT,NIT Surathkal,Mechanical,8,2,SC,OS,Female-Only,2021,2,24070,26567
JoSAA,NIT,NIT Surathkal,Electrical,7,4,ST,AI,Gender-Neutral,2021,4,8972,13554
CSAB,GFTI,NIT Surathkal,Computer Science,1,3,OPEN,HS,Female-Only,2022,3,19330,21564
JoSAA,IIIT,NIT Warangal,Mechanical,3,1,SC,AI,Female-Only,2021,2,26808,29262
JoSAA,GFTI,IIIT Hyderabad,Electrical,2,2,EWS,HS,Female-Only,2022,6,18947,23582
CSAB,IIIT,NIT Trichy,Computer Science,5,4,EWS,OS,Female-Only,2023,2,27205,28281
CSAB,GFTI,NIT Warangal,Civil,5,4,ST,OS,Gender-Neutral,2023,4,5022,5856
JoSAA,NIT,NIT Warangal,Electrical,5,3,OPEN,HS,Gender-Neutral,2022,2,4492,7060
CSAB,NIT,IIIT Hyderabad,Computer Science,4,4,OPEN,AI,Gender-Neutral,2023,6,13641,16281
CSAB,NIT,IIIT Hyderabad,Electrical,5,3,EWS,OS,Gender-Neutral,2021,5,19651,20383
CSAB,IIIT,NIT Warangal,Electrical,3,3,OBC-NCL,OS,Gender-Neutral,2023,5,19481,23849
JoSAA,NIT,NIT Trichy,Electrical,1,2,ST,AI,Gender-Neutral,2021,4,47883,52082
JoSAA,IIIT,NIT Warangal,Electrical,5,2,ST,AI,Female-Only,2022,3,36095,39096
JoSAA,NIT,IIIT Hyderabad,Electrical,9,1,EWS,HS,Gender-Neutral,2022,4,23048,24811
JoSAA,NIT,NIT Trichy,Electrical,9,2,EWS,AI,Female-Only,2023,5,26828,28943
JoSAA,IIIT,IIIT Hyderabad,Computer Science,4,2,OBC-NCL,AI,Female-Only,2023,1,2124,5405
JoSAA,IIIT,NIT Trichy,Civil,3,3,OBC-NCL,AI,Female-Only,2021,1,16813,20976
JoSAA,NIT,NIT Surathkal,Mechanical,1,2,OPEN,HS,Gender-Neutral,2021,2,2586,5316
JoSAA,IIIT,IIIT Hyderabad,Electrical,2,3,ST,HS,Female-Only,2023,6,1255,5227
JoSAA,NIT,IIIT Hyderabad,Mechanical,8,3,ST,OS,Gender-Neutral,2023,2,10182,11336
CSAB,IIIT,NIT Warangal,Computer Science,1,2,EWS,HS,Female-Only,2022,1,37345,37825
JoSAA,GFTI,IIIT Hyderabad,Electrical,8,1,OPEN,OS,Female-Only,2022,5,18669,21851
CSAB,GFTI,IIIT Hyderabad,Civil,7,1,ST,AI,Gender-Neutral,2022,2,7186,9677
CSAB,GFTI,NIT Surathkal,Mechanical,8,4,OPEN,OS,Female-Only,2023,4,2417,4109
CSAB,GFTI,IIIT Hyderabad,Electrical,6,4,OPEN,OS,Female-Only,2023,6,36489,40850
JoSAA,GFTI,NIT Surathkal,Computer Science,9,2,EWS,AI,Female-Only,2023,4,4591,7438
JoSAA,NIT,NIT Surathkal,Civil,3,1,OPEN,OS,Female-Only,2022,6,16016,18505
JoSAA,GFTI,NIT Surathkal,Mechanical,4,3,OBC-NCL,HS,Gender-Neutral,2023,5,15348,19001
JoSAA,GFTI,NIT Surathkal,Mechanical,6,4,OBC-NCL,HS,Female-Only,2021,2,2611,5738
CSAB,GFTI,NIT Trichy,Electrical,8,3,SC,HS,Female-Only,2023,6,24326,25633
JoSAA,GFTI,NIT Warangal,Civil,5,4,EWS,HS,Gender-Neutral,2023,4,25125,29078
JoSAA,IIIT,NIT Trichy,Civil,3,2,SC,OS,Female-Only,2023,2,42414,43058
JoSAA,NIT,IIIT Hyderabad,Civil,6,1,OBC-NCL,OS,Female-Only,2023,2,48480,51661
JoSAA,GFTI,NIT Trichy,Civil,4,4,SC,AI,Female-Only,2023,4,7948,11711
JoSAA,GFTI,NIT Trichy,Computer Science,9,1,EWS,OS,Female-Only,2021,1,14374,16713
CSAB,GFTI,IIIT Hyderabad,Civil,3,3,EWS,OS,Gender-Neutral,2021,6,31058,33525
JoSAA,NIT,IIIT Hyderabad,Mechanical,4,2,OPEN,OS,Female-Only,2023,4,35333,39206
CSAB,IIIT,IIIT Hyderabad,Mechanical,7,1,ST,AI,Gender-Neutral,2022,5,16404,19131
JoSAA,NIT,NIT Trichy,Computer Science,7,2,OPEN,HS,Female-Only,2023,3,48537,52568
CSAB,IIIT,NIT Trichy,Mechanical,4,1,EWS,OS,Female-Only,2023,4,11394,13968
JoSAA,GFTI,IIIT Hyderabad,Mechanical,6,3,OBC-NCL,AI,Female-Only,2023,2,26525,29755
JoSAA,GFTI,NIT Warangal,Civil,3,3,OBC-NCL,AI,Gender-Neutral,2022,2,3275,6882
CSAB,NIT,NIT Warangal,Mechanical,6,2,OPEN,AI,Female-Only,2022,4,40717,40913
CSAB,NIT,NIT Surathkal,Computer Science,2,3,EWS,HS,Female-Only,2022,3,45341,49299
CSAB,IIIT,IIIT Hyderabad,Civil,8,4,OBC-NCL,OS,Gender-Neutral,2021,4,27875,30683
JoSAA,IIIT,NIT Surathkal,Electrical,2,1,EWS,AI,Gender-Neutral,2022,3,9525,12961
CSAB,NIT,NIT Warangal,Civil,7,3,OBC-NCL,HS,Gender-Neutral,2021,3,26113,26669
JoSAA,IIIT,NIT Surathkal,Computer Science,9,4,EWS,AI,Gender-Neutral,2021,5,28028,32496
JoSAA,NIT,IIIT Hyderabad,Civil,1,2,SC,AI,Female-Only,2022,6,45090,48177
CSAB,IIIT,IIIT Hyderabad,Civil,8,4,EWS,AI,Female-Only,2022,2,41312,45500
CSAB,NIT,IIIT Hyderabad,Computer Science,7,2,EWS,AI,Female-Only,2022,2,8310,12294
JoSAA,NIT,NIT Trichy,Civil,6,2,OPEN,AI,Female-Only,2021,3,2859,3990
JoSAA,NIT,NIT Surathkal,Computer Science,6,1,SC,HS,Gender-Neutral,2023,2,16191,16498
CSAB,IIIT,NIT Warangal,Computer Science,6,1,ST,OS,Female-Only,2022,1,102,2139
CSAB,IIIT,NIT Warangal,Electrical,9,4,OPEN,OS,Female-Only,2022,3,41058,42304
CSAB,IIIT,NIT Warangal,Mechanical,2,1,ST,OS,Female-Only,2022,2,30260,34659
JoSAA,NIT,NIT Trichy,Mechanical,1,1,OBC-NCL,OS,Female-Only,2021,1,20807,23471
JoSAA,IIIT,NIT Trichy,Civil,6,1,ST,HS,Gender-Neutral,2021,5,15348,15890
JoSAA,IIIT,IIIT Hyderabad,Civil,8,4,EWS,HS,Female-Only,2023,2,5873,10757
JoSAA,NIT,NIT Warangal,Electrical,3,3,ST,HS,Female-Only,2022,1,12886,13818
JoSAA,GFTI,NIT Trichy,Electrical,1,1,OPEN,AI,Female-Only,2021,4,15137,16698
JoSAA,NIT,IIIT Hyderabad,Electrical,9,1,OPEN,AI,Gender-Neutral,2023,6,1985,5601
CSAB,IIIT,NIT Warangal,Computer Science,1,4,ST,AI,Gender-Neutral,2022,4,39928,41187
JoSAA,NIT,NIT Surathkal,Electrical,3,3,OPEN,OS,Female-Only,2021,1,16431,16917
JoSAA,GFTI,IIIT Hyderabad,Electrical,8,1,OPEN,AI,Female-Only,2022,3,40712,42853
JoSAA,NIT,NIT Trichy,Civil,3,2,ST,OS,Female-Only,2022,3,22595,25248
CSAB,IIIT,NIT Trichy,Electrical,4,4,SC,AI,Gender-Neutral,2021,2,13550,15368
JoSAA,GFTI,IIIT Hyderabad,Computer Science,8,1,SC,OS,Female-Only,2021,4,9591,14466
JoSAA,IIIT,IIIT Hyderabad,Computer Science,1,1,OBC-NCL,AI,Female-Only,2021,3,9368,13518
CSAB,GFTI,NIT Trichy,Civil,6,2,OPEN,AI,Female-Only,2022,3,27857,31366
JoSAA,GFTI,NIT Surathkal,Electrical,1,2,ST,HS,Gender-Neutral,2022,4,42007,42796
JoSAA,NIT,NIT Warangal,Electrical,1,4,OPEN,AI,Female-Only,2023,5,6891,8160
JoSAA,NIT,NIT Surathkal,Computer Science,8,4,EWS,AI,Female-Only,2022,3,40039,41091
JoSAA,IIIT,IIIT Hyderabad,Electrical,4,2,OPEN,HS,Gender-Neutral,2021,6,28414,33393
JoSAA,NIT,NIT Surathkal,Electrical,1,4,OPEN,OS,Gender-Neutral,2022,1,28683,33373
CSAB,NIT,NIT Trichy,Electrical,7,2,SC,HS,Female-Only,2023,2,21650,25246
CSAB,GFTI,IIIT Hyderabad,Mechanical,5,1,ST,HS,Gender-Neutral,2023,3,193,4210
CSAB,NIT,NIT Warangal,Civil,5,2,OPEN,OS,Female-Only,2021,6,35855,40797
JoSAA,GFTI,NIT Trichy,Mechanical,1,2,SC,AI,Gender-Neutral,2021,6,45715,48299
JoSAA,GFTI,NIT Trichy,Civil,6,3,OBC-NCL,OS,Gender-Neutral,2023,3,10067,12021
JoSAA,GFTI,NIT Warangal,Computer Science,9,2,SC,AI,Female-Only,2023,5,16318,19857
CSAB,IIIT,NIT Warangal,Electrical,9,2,SC,AI,Female-Only,2023,1,43320,46651
JoSAA,IIIT,NIT Surathkal,Civil,8,3,SC,OS,Female-Only,2021,2,8727,11424
JoSAA,IIIT,IIIT Hyderabad,Mechanical,5,4,OPEN,HS,Gender-Neutral,2023,3,5047,9130
CSAB,GFTI,NIT Warangal,Electrical,1,3,OPEN,OS,Female-Only,2023,2,39519,41810
JoSAA,IIIT,NIT Warangal,Computer Science,9,1,OBC-NCL,AI,Female-Only,2021,4,23278,26013
CSAB,IIIT,IIIT Hyderabad,Civil,1,3,EWS,OS,Female-Only,2022,6,28976,29732
CSAB,NIT,NIT Warangal,Civil,8,1,EWS,OS,Female-Only,2022,6,23008,26920
CSAB,IIIT,NIT Warangal,Civil,5,4,EWS,AI,Female-Only,2023,3,36012,39452
JoSAA,IIIT,NIT Surathkal,Electrical,3,3,OBC-NCL,HS,Gender-Neutral,2022,3,20071,24082
JoSAA,GFTI,NIT Trichy,Mechanical,7,3,EWS,OS,Female-Only,2022,4,32684,34580
JoSAA,GFTI,NIT Trichy,Mechanical,7,4,EWS,AI,Female-Only,2022,5,49328,53791
JoSAA,GFTI,NIT Trichy,Civil,9,1,SC,AI,Gender-Neutral,2022,3,9059,10921
JoSAA,GFTI,NIT Trichy,Computer Science,7,3,OPEN,OS,Female-Only,2023,6,28361,32933
JoSAA,GFTI,NIT Warangal,Computer Science,3,1,OPEN,HS,Female-Only,2022,2,41165,44550
JoSAA,GFTI,IIIT Hyderabad,Mechanical,1,3,SC,OS,Female-Only,2022,1,39562,41247
CSAB,IIIT,IIIT Hyderabad,Computer Science,8,2,SC,HS,Female-Only,2021,2,15935,19598
JoSAA,GFTI,NIT Surathkal,Mechanical,3,3,SC,HS,Female-Only,2023,5,19357,21897
CSAB,GFTI,NIT Surathkal,Civil,8,4,OPEN,HS,Gender-Neutral,2021,1,3446,8130
JoSAA,NIT,NIT Warangal,Mechanical,8,4,EWS,HS,Gender-Neutral,2021,2,30907,35824
JoSAA,IIIT,IIIT Hyderabad,Mechanical,5,1,SC,OS,Gender-Neutral,2023,2,30518,33718
JoSAA,IIIT,IIIT Hyderabad,Civil,1,3,OBC-NCL,AI,Female-Only,2022,4,11440,14784
CSAB,IIIT,NIT Trichy,Computer Science,7,1,SC,AI,Gender-Neutral,2021,5,33112,34252
CSAB,GFTI,NIT Warangal,Mechanical,5,1,ST,AI,Female-Only,2023,6,35493,38720
CSAB,GFTI,NIT Warangal,Mechanical,8,2,SC,AI,Female-Only,2022,4,36717,39090
CSAB,GFTI,NIT Trichy,Civil,9,2,OPEN,AI,Female-Only,2023,1,9697,13426
JoSAA,NIT,NIT Warangal,Computer Science,7,4,SC,AI,Gender-Neutral,2021,6,25657,27871
CSAB,GFTI,NIT Warangal,Mechanical,7,1,ST,OS,Gender-Neutral,2022,4,7837,9614
JoSAA,NIT,NIT Surathkal,Civil,1,4,OBC-NCL,HS,Gender-Neutral,2022,5,46892,50086
JoSAA,IIIT,IIIT Hyderabad,Mechanical,4,3,EWS,AI,Female-Only,2023,3,44868,45966
CSAB,GFTI,NIT Warangal,Electrical,2,1,SC,OS,Gender-Neutral,2022,3,41201,43585
CSAB,NIT,NIT Surathkal,Civil,2,1,ST,AI,Female-Only,2021,1,17376,19065
CSAB,NIT,IIIT Hyderabad,Computer Science,2,3,ST,AI,Gender-Neutral,2021,3,7410,8671
CSAB,GFTI,NIT Trichy,Computer Science,4,3,OBC-NCL,HS,Gender-Neutral,2021,4,35267,37887
CSAB,IIIT,NIT Surathkal,Computer Science,1,4,OPEN,HS,Female-Only,2023,1,37508,41463
CSAB,IIIT,NIT Surathkal,Computer Science,4,4,SC,HS,Female-Only,2022,6,19444,24192
CSAB,IIIT,IIIT Hyderabad,Mechanical,2,3,ST,AI,Gender-Neutral,2022,5,10491,11285
CSAB,NIT,NIT Trichy,Mechanical,5,4,OBC-NCL,AI,Gender-Neutral,2022,1,10992,15504
JoSAA,NIT,NIT Surathkal,Computer Science,3,3,EWS,AI,Gender-Neutral,2021,6,11297,16260
CSAB,NIT,NIT Warangal,Computer Science,8,1,ST,HS,Female-Only,2022,1,13150,17048
CSAB,NIT,NIT Warangal,Computer Science,4,1,OBC-NCL,OS,Female-Only,2021,2,36242,40025
JoSAA,IIIT,NIT Warangal,Mechanical,1,2,OPEN,AI,Gender-Neutral,2022,2,45779,47850
CSAB,GFTI,NIT Trichy,Computer Science,1,1,OPEN,AI,Gender-Neutral,2021,1,41715,43318
JoSAA,NIT,NIT Surathkal,Computer Science,3,3,ST,AI,Female-Only,2022,3,47653,51002
JoSAA,NIT,NIT Warangal,Electrical,9,4,ST,OS,Gender-Neutral,2023,2,43828,48146
CSAB,IIIT,NIT Trichy,Electrical,7,2,SC,AI,Female-Only,2023,5,13635,16977
JoSAA,GFTI,NIT Warangal,Computer Science,2,4,OBC-NCL,OS,Female-Only,2021,6,41102,43070
JoSAA,GFTI,IIIT Hyderabad,Civil,9,3,ST,AI,Female-Only,2021,4,43371,45142
JoSAA,IIIT,NIT Surathkal,Computer Science,2,1,SC,OS,Female-Only,2022,2,5222,6404
JoSAA,IIIT,NIT Surathkal,Electrical,3,2,SC,AI,Female-Only,2022,1,9952,11780
CSAB,GFTI,NIT Trichy,Civil,2,3,ST,HS,Female-Only,2023,3,5487,9438
JoSAA,NIT,NIT Trichy,Civil,3,2,OPEN,HS,Gender-Neutral,2022,4,31859,34101
CSAB,GFTI,NIT Surathkal,Computer Science,6,2,OBC-NCL,HS,Female-Only,2021,6,40499,41747
JoSAA,IIIT,NIT Warangal,Electrical,9,1,OBC-NCL,HS,Female-Only,2021,6,40094,40447
JoSAA,NIT,NIT Warangal,Electrical,9,3,OPEN,AI,Gender-Neutral,2021,2,37976,42178
